from,to,class,LR,mediator,covariate,target,response,causal,collider,cmst,weight
G6,G3,C1,t.d_t,t.m_m.d,,,,,,,1
G9,G1,C1,t.d_t,,,,,mt.tm_tm.d,,,1
G10,G5,C1,t.d_t,,t.m_m,,,,,,1
G8,G4,C1,t.d_t,,,,,,t.md_m.td,,1
G2,G4,C2,t.md_t.m,t.m_m.d,,,,mt.tm_tm.d,,mt.d,1
G9,G7,C2,t.md_t.m,,t.m_m,,,,t.md_m.td,,1
G10,G6,C3,m.d_m,,,,m.t_t,,,,1
G5,G3,C3,m.d_m,,,m.t_t.d,,,,,1
G7,G4,C3,m.d_m,,,,,,t.md_m.td,,1
G9,G2,C3,m.d_m,,,,,mt.tm_tm.d,,,1
G1,G4,C4,m.td_m.t,,,m.t_t.d,,mt.tm_tm.d,,mt.d,1
G9,G8,C4,m.td_m.t,,,,m.t_t,,t.md_m.td,,1
G5,G1,C5,t.m_t,,,m.t_t.d,,,,,1
G6,G2,C5,t.m_t,t.m_m.d,,,,,,,1
G10,G9,C5,t.m_t,,t.m_m,,m.t_t,,,,1
G3,G4,C6,t.md_t.d,t.m_m.d,,m.t_t.d,,,,mt.d,1
G5,G7,C6,t.md_t.d,,t.m_m,,,,,,1
G6,G8,C6,t.md_t.d,,,,m.t_t,,,,1
